index,province,density,population,province_en
1,上海,3814,24183300 ,Shanghai
2,北京,1322.74,21707000 ,Beijing
3,天津,1306,15568700 ,Tianjin
4,江苏,742,80293000 ,Jiangsu
5,山东,579,100058300 ,Shandong
6,河南,553,95591300 ,Henan
7,广东,481,111690000 ,Guangdong
8,浙江,460,56570000 ,Zhejiang
9,安徽,429,62548000 ,Anhui
10,重庆,374,30484300 ,Chongqing
11,河北,355,75195200 ,Hebei
12,湖北,325,59020000 ,Hubei
13,湖南,304,68602000 ,Hunan
14,辽宁,291,43689000 ,Liaoning
15,福建,285,39110000 ,Fujian
16,江西,247,46221000 ,Jiangxi
17,海南,224,9257600 ,Hainan
18,山西,212,37023500 ,Shanxi
19,贵州,200,35800000 ,Guizhou
20,广西,190,48850000 ,Guangxi
21,陕西,185,38354400 ,Shaanxi
22,四川,172,83020000 ,Sichuan
23,吉林,151,27174300 ,Jilin
24,云南,109,48005000 ,Yunnan
25,宁夏,85,6817900 ,Ningxia
26,黑龙江,81,37887000 ,Heilongjiang
27,甘肃,57,26257100 ,Gansu
28,内蒙古,20,25286000 ,Neimenggu
29,新疆,13.1,24446700 ,Xinjiang
30,青海,7.2,5983800 ,Qinghai
31,西藏,2.1,3371500 ,Xizang
